category_code,country_code,state_code,age,success,number_degrees
medical,USA,other,731.0,0,
consulting,USA,other,366.0,0,
biotech,other,other,1097.0,0,
security,USA,California,1097.0,0,
software,USA,other,366.0,0,
enterprise,other,other,915.0,0,
advertising,other,other,832.0,1,
ecommerce,other,other,1097.0,0,
games_video,USA,California,366.0,0,
advertising,USA,California,139.0,0,
ecommerce,USA,California,1.0,0,
mobile,USA,other,1422.0,0,
software,USA,California,1.0,0,
search,USA,other,1.0,0,
games_video,other,other,1.0,0,
web,USA,California,731.0,0,15.0
social,USA,other,366.0,0,
web,USA,California,1083.0,0,
biotech,USA,other,366.0,0,12.0
web,other,other,1.0,0,
web,other,other,1342.0,0,
messaging,other,other,121.0,0,
ecommerce,USA,other,641.0,0,
news,other,other,234.0,0,
biotech,USA,other,792.0,0,
web,other,other,1219.0,0,
mobile,USA,California,1.0,0,
analytics,USA,California,1.0,0,
games_video,USA,other,93.0,0,
biotech,USA,other,1097.0,0,
education,other,other,549.0,0,
software,other,other,731.0,0,
mobile,USA,California,1.0,0,
advertising,other,other,945.0,0,
hardware,other,other,1081.0,0,
finance,USA,California,1097.0,0,
search,other,other,78.0,1,
software,other,other,1219.0,0,
software,other,other,1062.0,0,
search,USA,California,852.0,1,
sports,USA,other,1.0,0,
travel,other,other,1.0,0,
biotech,USA,other,1.0,0,
health,USA,other,1.0,0,
software,USA,California,1363.0,1,
manufacturing,USA,California,884.0,0,
sports,USA,other,62.0,0,
ecommerce,other,other,699.0,0,
software,other,other,731.0,0,
games_video,other,other,1.0,0,
software,USA,California,52.0,1,
travel,USA,California,1210.0,0,
mobile,USA,other,841.0,0,
enterprise,USA,California,449.0,0,
ecommerce,USA,California,731.0,0,
advertising,other,other,366.0,0,
mobile,other,other,607.0,0,
web,USA,other,1066.0,0,
mobile,USA,California,201.0,1,
software,USA,other,1097.0,0,
advertising,USA,California,335.0,0,
advertising,other,other,1061.0,0,
ecommerce,USA,other,215.0,0,
music,other,other,1172.0,0,
social,USA,other,344.0,0,
advertising,USA,California,222.0,1,
mobile,USA,California,62.0,0,
ecommerce,USA,other,701.0,0,
ecommerce,USA,California,1.0,0,
